principio_activo,unidad_medida,concentracion,unidad_referencia,dosis_toxica_base,sintomas_base,antidoto_manejo_base,estado_validacion
ENTACAPONA,mg,200,TABLETA RECUBIERTA,>2400 MG/DIA,"Insomnio, alucinaciones, confusión, paroniria, discinesia, parkinsonismo agra...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
ENTECAVIR,mg,0.5,TABLETA RECUBIERTA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ENTRECTINIB,mg,100,CÁPSULA DURA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ENZALUTAMIDA,mg,80,TABLETAS RECUBIERTA CON PELICULA,SDTE/TOX. EMBRIONAL 10-30MG/KG/DIA,"Astenia, fatiga; ansiedad; cefalea, alteración de la memoria, amnesia, altera...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
EPLERENONA,mg,25,POR CADA TABLETA,SDTE/DMax 50MG/DIA,"Infección; hiperpotasemia, hipercolesterolemia; mareos, síncope, cefalea; IAM...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ERGOTAMINA TARTRATO,mg,1,CADA TABLETA CONTIENE,> 10-26MG,"Mareos, dolor abdominal, náuseas y vómitos no relacionados con la migraña.",MEDIDAS GENERALES,PENDIENTE_VALIDACION
ERITROMICINA,mg,500,TABLETA RECUBIERTA,SDTE/RAM>4 G/DIA,"Anorexia; náuseas, vómitos, dolor abdominal en el cuadrante superior, diarrea...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ERLOTINIB,mg,150,TABLETA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ESCINA,mg,15,TABLETA RECUBIERTA,SDTE,"Pesadez de estómago y molestias abdominales leves. Prurito, eritema y erupció...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ESCITALOPRAM,mg,10,TABLETA RECUBIERTA,1MG/KG->50MG,"NAUSEAS, VOMITOS, SEDACION, TEMBLOR, TAQUICARDIA, HIPERTENSION, - HIPOTENSION...",CIPROHEPTADINA,PENDIENTE_VALIDACION
ESOMEPRAZOL,mg,20,CÁPSULA DURA.,SDTE,"Cefalea; dolor abdominal, estreñimiento, diarrea, flatulencia, náuseas/vómito...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ESPIRAMICINA BASE,million unit,3,TABLETA RECUBIERTA,SDTE/DMax 2 G/DIA,"Raramente: náuseas, vómitos, diarrea, colitis pseudomembranosa, parestesia tr...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ESPIRONOLACTONA,mg,25,TABLETA RECUBIERTA,SDTE/DMax 400 MG/DIA,"Malestar, fatiga; ginecomastia, menstruación irregular, amenorrea, sangrado p...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ESTRADIOL,mg,1,CADA TABLETA RECUBIERTA,SDTE,Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal En...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ESZOPICLONA,mg,3,TABLETARECUBIERTA,SDTE/ CASOS DE RAM REPORTADA>3MG/DIA,"Disgeusia, dispepsia, náuseas, xerostomia; somnolencia durante el día, embota...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ETAMBUTOL CLORHIDRATO,mg,275,TABLETA RECUBIERTA,15-50MG/KG/DIA,Disminución de la agudeza visual debido a la neuritis óptica y relacionada co...,MEDIDAS GENERALES,PENDIENTE_VALIDACION
ETINIL ESTRADIOL,mg,0.03,TABLETA RECUBIERTA,SDTE,Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal En...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ETORICOXIB,mg,120,TABLETA RECUBIERTA,>90 MG/DIA,"Edema/retención de líquidos; mareos, cefalea; palpitaciones, arritmia; HTA; b...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
ETRAVIRINA (TMC 125),mg,200,TABLETA,SDTE,"Trombocitopenia, anemia, reducción de neutrófilos; hipersensibilidad; diabete...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
EVEROLIMUS,mg,5,TABLETA.,SDTE/DMax 10MG/DIA,"Infecciones (víricas, bacterianas y fúngicas), infección de las vías altas y ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
EVOGLIPTINA,mg,5,TABLETA RECUBIERTA,SDTE,"Gastritis, dispepsia, diarrea; periodontitis; nasofaringitis; disfunción eréc...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
EXEMESTANO,mg,25,TABLETA RECUBIERTA,>1-2 G/KG,"Leucopenia, trombocitopenia; anorexia; insomnio, depresión; cefalea, mareos, ...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
EZETIMIBE,mg,10,TABLETAS,SDTE,"Monoterapia: dolor abdominal, diarrea, flatulencia; fatiga. Coadministrado co...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FAMOTIDINA,mg,10,TABLETA,SDTE/RAM >4G/KG/DIA,"Cefalea, mareo; diarrea, estreñimiento.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FEBUXOSTAT,mg,120,TABLETA RECUBIERTA,SDTE/RAM> 240MG/DIA,"Crisis agudas de gota; cefalea; diarrea, náuseas; exantema; aumento de la cre...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FENILEFRINA,mg,25,TABLETA,75-125 MG/DIA,"mucosas secas y calientes, piel seca, rubor y calor, xerodermia, retención ur...",FISOSTIGMINA (CUANDO HAY SIND. ANTICOLINERGICO),PENDIENTE_VALIDACION
FENITOINA SODICA,mg,100,CADA TABLETA RECUBIERTA CONTIENE,> O = 20MG/KG,"Con niveles entre 20 y 40 μg/ml : mareos, visión borrosa, diplopía, y náusea...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
FENOBARBITAL,mg,50,TABLETA,>4MG/KG,"Reacciones cutáneas: si son graves, suspender tto. Problemas de coordinación ...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
FENOFIBRATO,mg,200,CÁPSULA DURA,SDTE/RAM >30MG/KG,"Trastornos digestivos, gástricos o intestinales (dolor abdominal, náuseas, vó...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FENOTEROL,mg,0.05,CADA DOSIS,SDTE,"Hipersensibilidad;Hipopotasemia, incluida la hipopotasemia seria;Agitación, n...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FENOVERINA,mg,200,CAPSULA,SDTE/DMax 400 MG /DIA,"Sequedad de boca, constipación, aumento de la flatulencia, aumento del dolor,...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FEXOFENADINA,mg,120,TABLETA CUBIERTA,>15MG/KG,"mucosas secas y calientes, piel seca, rubor y calor, xerodermia, retención ur...",FISOSTIGMINA (CUANDO HAY SIND. ANTICOLINERGICO),PENDIENTE_VALIDACION
FINASTERIDA,mg,1,TABLETAS RECUBIERTAS,SDTE,"Disminución del volumen de eyaculación, impotencia, disminución de la libido....",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FINGOLIMOD,mg,0.5,CAPSULA DURA,SDTE,"Gripe, sinusitis, infecciones por virus herpes, bronquitis, tiña versicolor; ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FLAVONOIDES EXPRESADOS COMO HESPERIDINA MICRONIZADA Y PURIFICADA,mg,50,TABLETA CUBIERTA,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FLAVOXATO CLOHIDRATO,mg,200,TABLETA RECUBIERTA,> O = 1G/KG,"Náuseas, vómitos; vértigo, cefalea, labilidad emotiva; PIO; urticaria; disuri...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
FLUBENDAZOL,mg,500,TABLETA,SDTE,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FLUCITOSINA,mg,500,CAPSULADURA,SDTE/DMax >100-150 MG/KG/DIA,"depresión de la médula ósea, función hepática anormal y náusea",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FLUCONAZOL,mg,75,TABLETA CUBIERTA,SDTE,"Cefalea; dolor abdominal, vómitos, diarrea, náuseas; aumento de ALT, AST y fo...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FLUDROCORTISONA,mg,0.1,TABLETA,SDTE,"Cefalea; incremento de peso, edemas, pérdida de potasio; hipertensión",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FLUNARIZINA,mg,5,CADA CÁPSULA CONTIENE FLUNARIZINA DICLORHIDRATO EQUIVALENTE AA,SDTE/DMax 10MG/DIA,"Rinitis, aumento de apetito, depresión, insomnio, somnolencia, fatiga, estreñ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FLUOXETINA,mg,20,CAPSULA,>100 MG,"NAUSEAS, VOMITOS, SEDACION, TEMBLOR, TAQUICARDIA, HIPERTENSION, - HIPOTENSION...",CIPROHEPTADINA,PENDIENTE_VALIDACION
FLURBIPROFENO,mg,8.75,TABLETA,SDTE/DMax 900 MG/DIA,"Náuseas, vómitos, dispepsias, hemorragia gastrointestinal, ulceración péptica...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FLUTICASONA,mcg,250,CÁPSULA DURA DE HIPROMELOSA (HPMC) COLOR NATURAL,SDTE,"Candidiasis orofaríngea, cefalea, ronquera, irritación de garganta, contusion...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FLUVOXAMINA,mg,100,TABLETA RECUBIERTA,>1000 MG,"NAUSEAS, VOMITOS, SEDACION, TEMBLOR, TAQUICARDIA, HIPERTENSION, - HIPOTENSION...",CIPROHEPTADINA,PENDIENTE_VALIDACION
FORMOTEROL,mcg,10,POR CADA CAPSULA,SDTE,"Palpitaciones, cefalea, temblor, tos.",B-BLOQUEADOR CARDIO SELECTIVO (METOPROLOL),SIN_DOSIS_TOXICA_ESPECIFICA
FURAZOLIDONA,mg,100,TABLETA RECUBIERTA,SDTE/>20MG/KG/DIA APROX 1.5G/DIA,"Dolor abdominal, diarrea, náuseas,vómitos; coloración oscura de la orina atri...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
FUROSEMIDA,mg,40,TABLETA RECUBIERTA,3MG/KG,"Alteraciones electrolíticas (incluyendo las sintomáticas), deshidratación e h...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
GABAPENTIN,mg,400,CAPSULA DURA,>150MG/KG,"Infección viral, neumonía, infección respiratoria, infección del tracto urina...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
GALANTAMINA,mg,8,CAPSULA,>10-30MG/KG/DIA,"Disminución del apetito; alucinaciones, depresión; síncope, mareo, temblor, c...",ATROPINA,PENDIENTE_VALIDACION
GEFITINIB,mg,250,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
GEMFIBROZILO,mg,900,TABLETA RECUBIERTA.,SDTE/DMax 1500 MG/DIA,"Vértigo, dolor de cabeza; dispepsia, dolor abdominal, diarrea, flatulencia, n...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
GESTODENO,mcg,75,GRAGEA,SDTE,Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal En...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
GILTERITINIB,mg,40,TABLETA RECUBIERTA CON PELICULA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
GLIBENCLAMIDA,mg,5,TABLETA RECUBIERTA,">0,2MG/KG","Molestias visuales transitorias (al inicio); hipersensibilidad; náuseas, vómi...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
GLICLAZIDA,mg,60,TABLETA RANURADA DE LIBERACION PROLONGADA,SDTE/DMax 240MG/DIA,"Hipoglucemia, dolor abdominal, náuseas, vómitos, dispepsia, diarrea, estreñim...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
GLIMEPIRIDA,mg,2,COMPRIMIDO,SDTE/>6 MG/DIA,"Frecuentes: cefalea, astenia, mareos, hipoglucemia. Poco frecuentes: náusea, ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
GLUCOSAMINA SULFATO,mg,500,CÁPSULA DURA DE GELATINA VEGETAL,SDTE,"Cefalea, somnolencia; dispepsia; diarrea, estreñimiento, náuseas, dolor abdom...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
HALOPERIDOL,mg,5,TABLETA RECUBIERTA,>0.5MG/KG,"RIGIDEZ MUSCULAR, FIEBRE, DIAFORESIS, DISFAGIA, TEMBLOR, INCONTINENCIA, CONFU...",DANTROLENO,PENDIENTE_VALIDACION
HESPERIDINA,mg,50,COMPRIMIDO RECUBIERTO,>2G/KG,SINTOMAS GENERALES,MEDIDAS GENERALES,PENDIENTE_VALIDACION
HIDROCLOROTIAZIDA,mg,12.5,TABLETA RECUBIERTA,SDTE/DT APROX 250MG/KG/DIA,Los efectos adversos son poco frecuentes (<10%) y generalmente están relacion...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
HIDROCODONA,mg,5,TABLETA,DL 100 MG/DU,"Triada: Miosis (pupilas puntiformes), Depresión respiratoria, Coma hipoxia y ...",NALOXONA,PENDIENTE_VALIDACION
HIDROCORTISONA,mg,10,TABLETA,SDTE,"leucitosis; aumento presión intracraneal con papiledema en niños, agravamient...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
HIDROMORFONA CLORHIDRATO,mg,2.5,TABLETA,SDTE/RAM >16MG/KG/HRA,"Triada: Miosis (pupilas puntiformes), Depresión respiratoria, Coma hipoxia y ...",NALOXONA,SIN_DOSIS_TOXICA_ESPECIFICA
HIDROSMINA,MG,200,CAPSULA DURA,>5G/KG,SINTOMAS GENERALES,MEDIDAS GENERALES,PENDIENTE_VALIDACION
HIDROTALCITA,mg,500,COMPRIMIDO MASTICABLE,SDTE/DMax 4G/DIA,SINTOMAS GENERALES,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
HIDROXICINA CLORHIDRATO,mg,25,TABLETA RECUBIERTA,>75-125 MG/DIA,"mucosas secas y calientes, piel seca, rubor y calor, xerodermia, retención ur...",FISOSTIGMINA (CUANDO HAY SIND. ANTICOLINERGICO),PENDIENTE_VALIDACION
HIDROXICLOROQUINA,mg,400,TABLETA RECUBIERTA,>20MG/KG,"Apetito disminuido; cefalea; alteraciones en la córnea (edema, opacidad) con ...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
HIDROXIUREA,mg,500,CAPSULA,>5.7G/KG,"Azoospermia, oligospermia; cáncer de piel; fallo de la médula ósea, disminuci...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
HIOSCINA,mg,10,1 TABLETA CUBIERTA,SDTE/DMax 100MG/DIA,"Taquicardia, sequedad de boca, reacción cutánea, dishidrosis. Parenteral, ad...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
HISTIDINA,mg,38,TABLETA RECUBIERTA CON PELÍCULA,15G/KG (RATAS),SINTOMAS GENERALES,MEDIDAS GENERALES,PENDIENTE_VALIDACION
IBANDRONATO,mg,150,TABLETAS RECUBIERTAS,SDTE/ DMax 150 MG DIA,"Dolor de cabeza; hipocalcemia; diarrea, dispepsia, dolor abdominal; alteració...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
IBRUTINIB,mg,140,CAPSULA DURA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
IBUPROFENO,mg,400,TABLETA RECUBIERTA,100MG/KG,"NAUSEAS, VOMITOS, HDA, IRA, CEFALEA, ACUFENO, SORDERA, COMA, APNEA TRANSITORIA",MEDIDAS GENERALES,PENDIENTE_VALIDACION
ICOSAPENTANOATO DE ETILO,mg,1000,CÁPSULAS DE LIBERACIÓN NO MODIFICADA,SDTE,"Gota; fibrilación o flutter auricular; hemorragia; estreñimiento, eructos; ex...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
IMATINIB,mg,100,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
IMIPRAMINA CLORHIDRATO,mg,25,TABLETA CUBIERTA,10-20 mg/Kg,"confusión, somnolencia, alucinaciones, convulsiones, taquicardia, hipotensión...",BICARBONATO DE SODIO,PENDIENTE_VALIDACION
INDACATEROL,mg,0.15,CADA CÁPSULA DURA CON POLVO PARA INHALACIÓN.,SDTE,"palpitaciones, taquicardia, temblores, nerviosismo, dolor de cabeza, mareos, ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
INDAPAMIDA,mg,1.5,CADA TABLETA DE LIBERACION PROLONGADA,>40MG/DIA,"Hipopotasemia; reacciones de hipersensibilidad, principalmente dermatológicas...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
INDOMETACINA,mg,25,CAPSULA BLANDA,11.5MG/KG,"Cefalea, mareo, aturdimiento, depresión, vértigo y fatiga, náuseas, anorexia,...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
IPRATROPIO,mg,0.02,CADA DOSIS,SDTE,"Dolor de cabeza, mareo; irritación de garganta, tos; sequedad de boca, náusea...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
IRBERSARTAN,mg,150,TABLETA RECUBIERTA,SDTE/DMax 300MG/DIA,Mareo; náuseas/vómitos; fatiga; mareo ortostático; hipotensión ortostática; d...,"INOTROPICOS, SI HAY ALT DEL SNC NALOXONA",SIN_DOSIS_TOXICA_ESPECIFICA
ISAVUCONAZOL,mg,186.3,POR CAPSULA,SDTE,"Hipocalemia, disminución del apetito; delirio; dolor de cabeza, somnolencia; ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ISOFLAVONA,mg,25,TABLETA RECUBIERTA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ISOMETEPTENO MUCATO,mg,30,TABLETA RECUBIERTA,SDTE,toxidrome simpaticomimetico,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ISONIACIDA,mg,150,TABLETA RECUBIERTA,30-35 MG/KG,"Náuseas, vómitos, dolor epigástrico, fiebre, mialgia, artralgia, anorexia, el...",PIRIDOXINA,PENDIENTE_VALIDACION
ISOSORBIDE DINITRATO,mg,10,TABLETA,SDTE/DMax 240MG/DIA,"Hipotensión ortostática, dolor de cabeza, ruborización, trastornos digestivos...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ISOTRETINOINA,mg,20,CAPSULA BLANDA,SDTE,"Anemia, aumento velocidad de sedimentación, trombocitopenia, trombocitosis, n...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
ITOPRIDE CLORHIDRATO,mg,50,TABLETA RECUBIERTA,>2G/KG,Efectos adversos graves poco frecuentes y que requieren la interrupción o sus...,MEDIDAS GENERALES,PENDIENTE_VALIDACION
IVABRADINA,mg,5,CADA TABLETA,SDTE/DMax 10MG/DIA,"Cefaleas, mareos, posiblemente relacionados con la bradicardia; fenómenos lum...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
IXAZOMIB,mg,2.3,CAPSULA DURA COLOR ROSADO CLARO,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
KETOCONAZOL,mg,200,TABLETA,SDTE/DMax120 MG/DIA,"Náuseas, cefalea, diarrea, dolor abdominal, función hepática alterada.",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
KETOPROFENO,mg,100,COMPRIMIDO (TABLETA) CON CUBIERTA ENTERICA,>486MG/KG,"NAUSEAS, VOMITOS, HDA, IRA, CEFALEA, ACUFENO, SORDERA, COMA, APNEA TRANSITORIA",MEDIDAS GENERALES,PENDIENTE_VALIDACION
KETOROLACO,mg,10,TABLETA RECUBIERTA,>120MG/DIA,"NAUSEAS, VOMITOS, HDA, IRA, CEFALEA, ACUFENO, SORDERA, COMA, APNEA TRANSITORIA",MEDIDAS GENERALES,PENDIENTE_VALIDACION
L-HISTIDINA,mg,38,TABLETA RECUBIERTA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
L-TIROSINA,mg,30,TABLETA RECUBIERTA,SDTE,sintomas de hipertiroidismo,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
L-TREONINA,mg,53,TABLETA RECUBIERTA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
L-TRIPTOFANO,mg,23,TABLETA RECUBIERTA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LABETALOL,mg,200,VIAL,DOSIS MAX 800MG/DIA-DT >1600 MG/DIA,"Choque, Hipotensión, Bradicardia, Bloqueo AV, Broncoespasmo, Hipoglucemia, Co...",GLUCAGON,PENDIENTE_VALIDACION
LACOSAMIDA,mg,100,TABLETAS RECUBIERTAS,SDTE,"Depresión, estado de confusión, insomnio; mareo, dolor de cabeza, trastornos ...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LAMIVUDINA,mg,150,TABLETA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LAMOTRIGINA,mg,200,TABLETA DISPERSABLE,SDTE/DL 15G/DU,"Agresividad, irritabilidad, cefalea, somnolencia, mareo, temblor, insomnio, n...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LANATOSIDO C,mg,"0,4",VIAL,">1,6 MG/DIA","sintomas gastrointestinales y generales: ANOREXIA, NAUSEAS, VOMITOS, DOLOR AB...",ANTICUERPOS ANTIDIGITALICOS,PENDIENTE_VALIDACION
LANSOPRAZOL,mg,30,CÁPSULAS DE LIBERACIÓN RETARDADA,SDTE,"Dolor de cabeza, mareo; náuseas, diarrea, dolor de estómago, estreñimiento, v...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LAPATINIB,mg,250,TABLETA RECUBIERTA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LAROTRECTINIB,mg,25,CAPSULA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LEFLUNOMIDA,mg,100,TABLETA RECUBIERTA,SDTE/DMax30-40MG/DIA,"Leucopenia; leves reacciones alérgicas; anorexia, pérdida de peso; cefalea, m...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LENALIDOMIDA,mg,5,CAPSULA,SDTE,"Neumonía, infección de las vías respiratorias altas, infecciones bacterianas,...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LENVATINIB,mg,12.25,CÁPSULA DURA,SDTE,"Reacciones alérgicas y anafilaxia: Urticaria, Prurito, angioedema, disnea, Sh...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LETERMOVIR,mg,240,TABLETA,SDTE,sintomas generales,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LETROZOL,mg,2.5,TABLETA CUBIERTA CONPELÍCULA,>0.003MG/KG,"Aumento de peso; dolor de cabeza, mareos; náuseas, vómitos, dispepsia, estreñ...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
LEVETIRACETAM,mg,500,TABLETA RECUBIERTA,>100MG/KG,"Nasofaringitis; anorexia; depresión, hostilidad/agresividad, ansiedad, nervio...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
LEVOCETIRICINA,mg,2.5,CAPSULA DE GELATINA BLANDA,0.35MG/KG,"mucosas secas y calientes, piel seca, rubor y calor, xerodermia, retención ur...",FISOSTIGMINA (CUANDO HAY SIND. ANTICOLINERGICO),PENDIENTE_VALIDACION
LEVODOPA,mg,250,TABLETA,>2000 mg/DU DIA,"Anemia; pérdida de peso, aumento de peso, aumento del nivel de aa (aumento de...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
LEVOFLOXACINA,mg,750,TABLETA,SDTE/DMax 1500 MG/DIA,"Insomnio; cefalea, mareo; diarrea, vómitos, náuseas; aumento de enzimas hepát...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LEVOMEPROMAZINA,mg,100,TABLETA.,375MG/KG,"Hiperprolactinemia, desregularización térmica, aumento de peso, hiperglucemia...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
LEVONORGESTREL,mg.,0.15,TABLETA,SDTE,Gastrointestinales: Náuseas y vómitos Dolor abdominal Distensión abdominal En...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LEVOPANTOPRAZOL,mg,20,TABLETA CON CUBIERTA ENTERICA CON PELICULA,SDTE,"Dolor de cabeza, mareo; náuseas, diarrea, dolor de estómago, estreñimiento, v...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LEVOSULPIRIDA,mg,25,CÁPSULA DURA,SDTE/DMax 100MG/DIA,"Somnolencia, sedación, tensión mamaria, alteraciones menstruales, galactorrea...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LEVOTIROXINA,mcg,150,TABLETA,>5MG/DIA,"Taquicardia, palpitaciones, arritmia cardiaca (ej. fibrilación auricular y ex...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
LINAGLIPTINA,mg,2.5,TABLETA RECUBIERTA ROSADA,SDTE/DT APROX >600MG (EST. CLINICOS),Hipoglucemia (al combinarlo con una sulfonilurea); alteraciones del gusto; di...,MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LINEZOLID,mg,600,TABLETA RECUBIERTA,>2G/KG/DIA,"Candidiasis oral y vaginal, infecciones fúngicas; anemia; insomnio; cefalea, ...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
LISINOPRIL,mg,20,TABLETA,SDTE,"Mareo, cefalea; tos; diarrea, vómitos; disfunción renal; efectos ortostáticos...",MEDIDAS GENERALES,SIN_DOSIS_TOXICA_ESPECIFICA
LOFEPRAMINA,,,,10-20 mg/Kg,"confusión, somnolencia, alucinaciones, convulsiones, taquicardia, hipotensión...",MEDIDAS GENERALES,PENDIENTE_VALIDACION
